task,method,iterations,time_us
loop,for_loop, 1000 , 63 , result: 1000
loop,for_loop, 10000 , 412 , result: 11000
loop,for_loop, 100000 , 4011 , result: 111000
loop,for_loop, 1000000 , 40012 , result: 1111000
