timestamp_us,state
609286170,0
609286241,1
609286288,0
609286338,1
609286387,0
609286478,1
609286556,0
609286628,1
609286714,0
609286806,1
609286901,0
609286973,1
609287058,0
609287134,1
609287205,0
609287269,1
609287319,0
609287365,1
609287420,0
609287528,1
609287599,0
609287683,1
609287765,0
609287833,1
609287925,0
609288020,1
609288116,0
609288217,1
609288286,0
609288333,1
609288385,0
609288464,1
609288565,0
609288661,1
609288737,0
609288832,1
609288909,0
609288999,1
609289090,0
609289176,1
609289238,0
609289291,1
609289344,0
609289391,1
609289476,0
609289556,1
609289626,0
609289717,1
609289804,0
609289899,1
609289975,0
609290045,1
609290117,0
609290209,1
609290287,0
609290334,1
609290386,0
609290471,1
609290549,0
609290644,1
609290714,0
609290808,1
609290887,0
609290980,1
609291075,0
609291169,1
609291238,0
609291286,1
609291332,0
609291381,1
609291461,0
609291539,1
609291632,0
609291729,1
609291828,0
609291925,1
609292017,0
609292080,1
609292189,0
609292259,1
609292313,0
609292365,1
609292420,0
609292513,1
609292602,0
609292670,1
609292763,0
609292836,1
609292928,0
609293033,1
609293109,0
609293202,1
609293266,0
609293317,1
609293371,0
609293451,1
609293510,0
609293621,1
609293698,0
609293792,1
609293887,0
609293989,1
609294087,0
609294186,1
609294240,0
609294309,1
609294356,0
609294408,1
609294485,0
609294575,1
609294666,0
609294760,1
609294856,0
609294941,1
609295004,0
609295114,1
609295207,0
609295271,1
609295322,0
609295370,1
609295439,0
609295506,1
609295584,0
609295655,1
609295748,0
609295842,1
609295945,0
609296047,1
609296142,0
609296248,1
609296306,0
609296359,1
609296406,0
609296507,1
609296554,0
609296646,1
609296726,0
609296794,1
609296883,0
609296974,1
609297052,0
609297121,1
609297224,0
609297294,1
609297342,0
609297392,1
609297471,0
609297565,1
609297642,0
609297728,1
609297817,0
609297901,1
609297970,0
609298057,1
609298151,0
609298255,1
609298307,0
609298353,1
609298399,0
609298484,1
609298553,0
609298639,1
609298733,0
609298811,1
609298905,0
609299000,1
609299095,0
609299189,1
609299268,0
609299321,1
609299367,0
609299442,1
609299513,0
609299591,1
609299668,0
609299762,1
609299834,0
609299927,1
609299998,0
609300091,1
609300168,0
609300264,1
609300317,0
609300369,1
609300439,0
609300504,1
609300570,0
609300635,1
609300719,0
609300812,1
609300882,0
609300971,1
609301070,0
609301164,1
609301244,0
609301298,1
609301349,0
609301396,1
609301480,0
609301575,1
609301652,0
609301741,1
609301841,0
609301913,1
609302005,0
609302107,1
609302210,0
609302290,1
609302341,0
609302394,1
609302473,0
609302569,1
609302661,0
609302750,1
609302842,0
609302905,1
609302998,0
609303077,1
609303145,0
609303231,1
609303284,0
609303330,1
609303383,0
609303469,1
609303541,0
609303608,1
609303697,0
609303788,1
609303868,0
609303937,1
609304017,0
609304101,1
609304169,0
609304256,1
609304312,0
609304363,1
609304410,0
609304488,1
609304598,0
609304677,1
609304768,0
609304863,1
609304935,0
609305018,1
609305082,0
609305174,1
609305245,0
609305314,1
609305362,0
609305422,1
609305514,0
609305584,1
609305687,0
609305757,1
609305851,0
609305945,1
609306039,0
609306117,1
609306211,0
609306264,1
609306335,0
609306388,1
609306474,0
609306576,1
609306695,0
609306759,1
609306868,0
609306938,1
609307026,0
609307109,1
609307173,0
609307258,1
609307310,0
609307358,1
609307409,0
609307514,1
609307583,0
609307683,1
609307778,0
609307873,1
609307950,0
609308045,1
609308139,0
609308226,1
609308278,0
609308325,1
609308376,0
609308454,1
609308532,0
609308610,1
609308713,0
609308807,1
609308901,0
609308996,1
609309073,0
609309143,1
609309229,0
609309274,1
609309327,0
609309374,1
609309459,0
609309515,1
609309608,0
609309712,1
609309803,0
609309892,1
609309992,0
609310078,1
609310151,0
609310245,1
609310298,0
609310348,1
609310396,0
609310482,1
609310558,0
609310652,1
609310756,0
609310849,1
609310903,0
609310996,1
609311067,0
609311161,1
609311247,0
609311299,1
609311348,0
609311398,1
609311478,0
609311570,1
609311656,0
609311751,1
609311845,0
609311933,1
609312004,0
609312103,1
609312181,0
609312275,1
609312329,0
609312377,1
609312460,0
609312538,1
609312640,0
609312767,1
609312845,0
609312940,1
609312993,0
609313064,1
609313157,0
609313251,1
609313305,0
609313358,1
609313405,0
609313489,1
609313578,0
609313669,1
609313764,0
609313869,1
609313953,0
