timestamp_us,state
284092117,0
284092165,1
284092242,0
284092320,1
284092412,0
284092482,1
284092553,0
284092646,1
284092742,0
284092837,1
284092929,0
284093007,1
284093061,0
284093113,1
284093159,0
284093244,1
284093347,0
284093450,1
284093519,0
284093589,1
284093678,0
284093770,1
284093847,0
284093941,1
284094031,0
284094084,1
284094128,0
284094220,1
284094298,0
284094403,1
284094495,0
284094573,1
284094667,0
284094762,1
284094858,0
284094942,1
284095003,0
284095056,1
284095110,0
284095157,1
284095241,0
284095344,1
284095422,0
284095517,1
284095618,0
284095713,1
284095790,0
284095885,1
284095987,0
284096057,1
284096103,0
284096150,1
284096233,0
284096311,1
284096409,0
284096516,1
284096573,0
284096667,1
284096742,0
284096839,1
284096932,0
284097026,1
284097078,0
284097131,1
284097193,0
284097295,1
284097368,0
284097459,1
284097562,0
284097634,1
284097718,0
284097811,1
284097890,0
284097976,1
284098047,0
284098100,1
284098147,0
284098230,1
284098308,0
284098396,1
284098472,0
284098576,1
284098669,0
284098740,1
284098785,0
284098878,1
284098951,0
284099036,1
284099088,0
284099140,1
284099220,0
284099305,1
284099390,0
284099460,1
284099582,0
284099657,1
284099751,0
284099847,1
284099948,0
284100018,1
284100065,0
284100116,1
284100162,0
284100240,1
284100333,0
284100411,1
284100497,0
284100594,1
284100653,0
284100731,1
284100829,0
284100921,1
284101009,0
284101062,1
284101112,0
284101158,1
284101243,0
284101338,1
284101424,0
284101497,1
284101605,0
284101693,1
284101784,0
284101874,1
284101949,0
284102037,1
284102090,0
284102141,1
284102222,0
284102317,1
284102394,0
284102486,1
284102615,0
284102669,1
284102763,0
284102856,1
284102933,0
284103004,1
284103055,0
284103102,1
284103149,0
284103232,1
284103310,0
284103404,1
284103476,0
284103552,1
284103630,0
284103716,1
284103794,0
284103888,1
284103982,0
284104054,1
284104105,0
284104152,1
284104232,0
284104309,1
284104384,0
284104472,1
284104572,0
284104669,1
284104745,0
284104841,1
284104936,0
284104989,1
284105057,0
284105110,1
284105163,0
284105241,1
284105335,0
284105406,1
284105494,0
284105569,1
284105663,0
284105759,1
284105860,0
284105946,1
284106042,0
284106094,1
284106140,0
284106219,1
284106298,0
284106390,1
284106467,0
284106556,1
284106656,0
284106733,1
284106828,0
284106940,1
284107008,0
284107061,1
284107109,0
284107160,1
284107240,0
284107324,1
284107410,0
284107497,1
284107569,0
284107668,1
284107765,0
284107840,1
284107913,0
284107991,1
284108058,0
284108111,1
284108164,0
284108267,1
284108336,0
284108414,1
284108492,0
284108570,1
284108657,0
284108751,1
284108845,0
284108923,1
284109018,0
284109072,1
284109124,0
284109170,1
284109249,0
284109359,1
284109444,0
284109538,1
284109627,0
284109713,1
284109780,0
284109874,1
284109970,0
284110040,1
284110094,0
284110145,1
284110225,0
284110302,1
284110378,0
284110449,1
284110513,0
284110580,1
284110674,0
284110752,1
284110837,0
284110917,1
284111002,0
284111055,1
284111108,0
284111154,1
284111239,0
284111334,1
284111412,0
284111517,1
284111595,0
284111686,1
284111782,0
284111878,1
284111972,0
284112031,1
284112109,0
284112162,1
284112243,0
284112359,1
284112431,0
284112539,1
284112633,0
284112720,1
284112806,0
284112870,1
284112956,0
284113042,1
284113095,0
284113141,1
284113224,0
284113302,1
284113396,0
284113490,1
284113568,0
284113671,1
284113765,0
284113859,1
284113913,0
284113966,1
284114035,0
284114082,1
284114134,0
284114196,1
284114274,0
284114368,1
284114463,0
284114556,1
284114644,0
284114737,1
284114824,0
284114917,1
284114971,0
284115035,1
284115085,0
284115133,1
284115192,0
284115262,1
284115364,0
284115434,1
284115520,0
284115608,1
284115692,0
284115789,1
284115881,0
284115959,1
284116028,0
284116076,1
284116127,0
284116174,1
284116252,0
284116338,1
284116430,0
284116532,1
284116630,0
284116713,1
284116809,0
284116901,1
284116995,0
284117067,1
284117121,0
284117172,1
284117269,0
284117336,1
284117406,0
284117492,1
284117586,0
284117664,1
284117758,0
284117861,1
284117956,0
284118027,1
284118073,0
284118123,1
284118168,0
284118254,1
284118350,0
284118443,1
284118537,0
284118632,1
284118709,0
284118779,1
284118877,0
284118976,1
284119054,0
284119107,1
284119155,0
284119239,1
284119333,0
284119427,1
284119505,0
284119599,1
284119685,0
284119766,1
284119874,0
284119962,1
284120030,0
284120077,1
284120123,0
284120173,1
284120251,0
284120321,1
284120399,0
284120496,1
284120589,0
284120682,1
284120754,0
284120849,1
284120948,0
284121021,1
284121071,0
284121119,1
284121165,0
284121248,1
284121342,0
284121436,1
284121533,0
284121626,1
284121721,0
284121807,1
284121870,0
284121947,1
284122009,0
284122060,1
