timestamp_us,state
737129215,0
737129285,1
737129353,0
737129456,1
737129544,0
737129628,1
737129716,0
737129768,1
737129821,0
737129868,1
737129952,0
737130030,1
737130102,0
737130194,1
737130283,0
737130383,1
737130460,0
737130550,1
737130649,0
737130744,1
737130798,0
737130845,1
737130903,0
737130998,1
737131069,0
737131137,1
737131208,0
737131301,1
737131371,0
737131465,1
737131560,0
737131632,1
737131735,0
737131793,1
737131840,0
737131900,1
737131994,0
737132066,1
737132142,0
737132230,1
737132281,0
737132328,1
737132399,0
737132474,1
737132546,0
737132632,1
737132683,0
737132761,1
737132808,0
737132859,1
737132945,0
737133041,1
737133142,0
737133221,1
737133306,0
737133400,1
737133487,0
737133556,1
737133644,0
737133730,1
737133783,0
737133835,1
737133882,0
737133999,1
737134085,0
737134155,1
737134266,0
737134319,1
737134366,0
737134434,1
737134521,0
737134614,1
737134708,0
737134761,1
737134815,0
737134863,1
737134946,0
737135040,1
737135137,0
737135204,1
737135291,0
737135385,1
737135480,0
737135550,1
737135643,0
737135737,1
737135790,0
737135839,1
737135898,0
737135992,1
737136072,0
737136156,1
737136249,0
737136345,1
737136438,0
737136525,1
737136594,0
737136683,1
737136751,0
737136803,1
737136851,0
737136928,1
737136981,0
737137067,1
737137155,0
737137257,1
737137333,0
737137426,1
737137521,0
737137610,1
737137677,0
737137746,1
737137794,0
737137839,1
737137885,0
737137968,1
737138037,0
737138124,1
737138196,0
737138271,1
737138357,0
737138452,1
737138529,0
737138617,1
737138710,0
737138766,1
737138818,0
737138870,1
737138956,0
737139042,1
737139120,0
737139184,1
737139276,0
737139370,1
737139457,0
737139534,1
737139590,0
737139640,1
737139694,0
737139763,1
737139809,0
737139856,1
737139943,0
737139996,1
737140113,0
737140165,1
737140254,0
737140323,1
737140416,0
737140493,1
737140604,0
737140683,1
737140755,0
737140813,1
737140861,0
737140944,1
737141039,0
737141135,1
737141205,0
737141290,1
737141367,0
737141445,1
737141538,0
737141625,1
737141714,0
737141765,1
737141818,0
737141871,1
737141951,0
737142038,1
737142129,0
737142225,1
737142295,0
737142387,1
737142465,0
737142560,1
737142640,0
737142727,1
737142777,0
737142831,1
737142877,0
737142954,1
737143050,0
737143150,1
737143221,0
737143315,1
737143392,0
737143481,1
