timestamp_us,state
426043317,0
426043387,1
426043490,0
426043568,1
426043615,0
426043666,1
426043713,0
426043791,1
426043883,0
426043979,1
426044057,0
426044149,1
426044247,0
426044346,1
426044419,0
426044511,1
426044580,0
426044628,1
426044678,0
426044768,1
426044842,0
426044928,1
426044975,0
426045051,1
426045146,0
426045223,1
426045318,0
426045391,1
426045482,0
426045555,1
426045607,0
426045658,1
426045704,0
426045789,1
426045885,0
426045986,1
426046081,0
426046175,1
426046278,0
426046372,1
426046445,0
426046536,1
426046614,0
426046667,1
426046729,0
426046823,1
426046901,0
426046998,1
426047097,0
426047192,1
426047279,0
426047349,1
426047442,0
426047536,1
426047589,0
426047637,1
426047688,0
426047766,1
426047844,0
426047930,1
426048024,0
426048103,1
426048190,0
426048290,1
426048393,0
426048487,1
426048585,0
426048635,1
426048688,0
426048753,1
426048845,0
426048914,1
426049016,0
426049094,1
426049188,0
426049284,1
426049377,0
426049456,1
426049525,0
426049588,1
426049640,0
426049686,1
426049770,0
426049865,1
426049938,0
426050037,1
426050132,0
426050234,1
426050330,0
426050431,1
426050528,0
426050578,1
426050648,0
426050694,1
426050779,0
426050857,1
426050930,0
426051054,1
426051151,0
426051218,1
426051307,0
426051390,1
426051451,0
426051538,1
426051602,0
426051648,1
426051698,0
426051784,1
426051861,0
426051935,1
426052043,0
426052136,1
426052233,0
426052327,1
426052419,0
426052490,1
426052578,0
426052637,1
426052690,0
426052776,1
426052855,0
426052927,1
426053018,0
426053114,1
426053215,0
426053311,1
426053386,0
426053459,1
426053545,0
426053599,1
426053650,0
426053695,1
426053780,0
426053878,1
426053961,0
426054031,1
426054135,0
426054230,1
426054323,0
426054418,1
426054489,0
426054573,1
426054625,0
426054672,1
426054731,0
426054827,1
426054896,0
426054985,1
426055084,0
426055163,1
426055265,0
426055337,1
426055430,0
426055524,1
426055593,0
426055646,1
426055693,0
426055777,1
426055874,0
426055969,1
426056053,0
426056130,1
426056217,0
426056310,1
426056375,0
426056466,1
426056538,0
426056590,1
426056637,0
426056687,1
426056768,0
426056822,1
426056913,0
426057007,1
426057085,0
426057179,1
426057257,0
426057347,1
426057441,0
426057516,1
426057580,0
426057631,1
426057678,0
426057762,1
426057823,0
426057887,1
426057987,0
426058065,1
426058159,0
426058254,1
426058331,0
426058436,1
426058511,0
426058577,1
426058627,0
426058673,1
426058741,0
426058815,1
426058889,0
426058961,1
426059054,0
426059140,1
426059209,0
426059295,1
426059374,0
426059462,1
426059529,0
426059598,1
426059645,0
426059691,1
426059775,0
426059870,1
426059947,0
426060041,1
426060130,0
426060222,1
426060292,0
426060385,1
426060496,0
426060566,1
426060619,0
426060666,1
426060713,0
426060796,1
426060890,0
426060985,1
426061079,0
426061173,1
426061260,0
426061331,1
426061406,0
426061504,1
426061587,0
426061640,1
426061688,0
426061771,1
426061849,0
426061938,1
426062005,0
426062099,1
426062177,0
426062272,1
426062367,0
426062476,1
426062549,0
426062600,1
426062653,0
426062700,1
426062792,0
426062886,1
426062957,0
426063050,1
426063124,0
426063215,1
426063292,0
426063387,1
426063465,0
426063543,1
426063590,0
426063636,1
426063686,0
426063775,1
426063833,0
426063944,1
426064014,0
426064108,1
426064187,0
426064276,1
426064374,0
426064445,1
426064491,0
426064576,1
426064623,0
426064674,1
426064730,0
426064822,1
426064891,0
426064994,1
426065088,0
426065176,1
426065252,0
426065346,1
426065418,0
426065511,1
426065581,0
426065642,1
426065695,0
426065782,1
426065876,0
426065971,1
426066066,0
426066161,1
426066236,0
426066314,1
426066367,0
426066437,1
426066510,0
426066585,1
426066633,0
426066683,1
426066764,0
426066839,1
426066909,0
426067003,1
426067074,0
426067159,1
426067229,0
426067298,1
426067393,0
426067487,1
426067556,0
426067603,1
426067650,0
426067700,1
426067786,0
426067859,1
426067950,0
426068028,1
426068106,0
426068179,1
426068278,0
426068381,1
426068434,0
426068528,1
426068598,0
426068645,1
426068696,0
426068775,1
426068852,0
426068930,1
426069017,0
426069094,1
426069188,0
426069258,1
426069352,0
426069455,1
426069544,0
426069596,1
426069648,0
426069701,1
426069787,0
426069885,1
426069983,0
426070080,1
426070180,0
426070252,1
426070345,0
426070447,1
426070517,0
426070581,1
426070632,0
426070679,1
426070763,0
426070836,1
426070910,0
426071004,1
426071102,0
426071201,1
426071295,0
426071366,1
426071445,0
426071540,1
426071593,0
426071644,1
426071691,0
426071775,1
426071869,0
426071965,1
426072058,0
426072130,1
426072223,0
426072317,1
426072390,0
426072480,1
426072578,0
426072637,1
426072690,0
426072770,1
426072854,0
426072931,1
426072996,0
426073090,1
426073183,0
426073276,1
426073341,0
426073434,1
426073534,0
426073606,1
426073657,0
426073705,1
426073805,0
426073874,1
426073961,0
426074057,1
426074133,0
426074220,1
426074313,0
426074386,1
426074477,0
426074555,1
426074608,0
426074656,1
426074707,0
426074785,1
426074879,0
426074949,1
426075045,0
426075146,1
426075240,0
426075334,1
426075404,0
426075490,1
426075577,0
426075631,1
426075683,0
426075769,1
426075841,0
426075941,1
426076035,0
426076146,1
426076218,0
426076311,1
426076404,0
426076475,1
426076544,0
426076592,1
426076642,0
426076695,1
426076782,0
426076879,1
426076954,0
426077042,1
426077151,0
426077228,1
