timestamp_us,state
519578482,0
519578569,1
519578664,0
519578764,1
519578859,0
519578929,1
519578976,0
519579022,1
519579072,0
519579183,1
519579254,0
519579340,1
519579433,0
519579519,1
519579592,0
519579691,1
519579786,0
519579888,1
519579958,0
519580005,1
519580056,0
519580135,1
519580212,0
519580332,1
519580400,0
519580495,1
519580582,0
519580677,1
519580769,0
519580864,1
519580935,0
519580986,1
519581040,0
519581119,1
519581189,0
519581274,1
519581347,0
519581446,1
519581543,0
519581651,1
519581723,0
519581807,1
519581894,0
519581946,1
519581994,0
519582040,1
519582123,0
519582200,1
519582296,0
519582367,1
519582459,0
519582553,1
519582655,0
519582733,1
519582821,0
519582913,1
519582967,0
519583013,1
519583060,0
519583143,1
519583262,0
519583332,1
519583426,0
519583521,1
519583614,0
519583693,1
519583779,0
519583874,1
519583945,0
519583996,1
519584049,0
519584129,1
519584230,0
519584332,1
519584429,0
519584530,1
519584626,0
519584701,1
519584789,0
519584892,1
519584946,0
519584996,1
519585043,0
519585127,1
519585225,0
519585301,1
519585395,0
519585490,1
519585567,0
519585661,1
519585757,0
519585852,1
519585927,0
519585980,1
519586026,0
519586087,1
519586184,0
519586276,1
519586354,0
519586448,1
519586542,0
519586636,1
519586708,0
519586800,1
519586888,0
519586940,1
519587009,0
519587055,1
519587141,0
519587260,1
519587337,0
519587432,1
519587518,0
519587589,1
519587682,0
519587776,1
519587854,0
519587924,1
519587970,0
519588022,1
519588068,0
519588146,1
519588239,0
519588326,1
519588421,0
519588506,1
519588576,0
519588664,1
519588756,0
519588859,1
519588931,0
519588982,1
519589029,0
519589088,1
519589183,0
519589255,1
519589355,0
519589444,1
519589535,0
519589621,1
519589683,0
519589786,1
519589848,0
519589934,1
519589981,0
519590031,1
519590113,0
519590195,1
519590289,0
519590384,1
519590454,0
519590548,1
519590644,0
519590745,1
519590817,0
519590900,1
519590954,0
519591007,1
519591052,0
519591131,1
519591208,0
519591280,1
519591372,0
519591466,1
519591569,0
519591663,1
519591757,0
519591852,1
519591924,0
519591978,1
519592028,0
519592074,1
519592167,0
519592237,1
519592332,0
519592426,1
519592523,0
519592615,1
519592684,0
519592778,1
519592873,0
519592950,1
519592999,0
519593049,1
519593135,0
519593213,1
519593291,0
519593378,1
519593479,0
519593582,1
519593676,0
519593729,1
519593819,0
519593910,1
519593964,0
519594017,1
519594064,0
519594140,1
519594234,0
519594328,1
519594423,0
519594495,1
519594595,0
519594668,1
519594759,0
519594837,1
519594924,0
519594977,1
519595029,0
519595115,1
519595193,0
519595271,1
519595360,0
519595447,1
519595538,0
519595619,1
519595713,0
519595804,1
519595902,0
519595960,1
519596013,0
519596059,1
519596137,0
519596206,1
519596292,0
519596362,1
519596450,0
519596528,1
519596628,0
519596722,1
519596816,0
519596906,1
519596957,0
519597009,1
519597062,0
519597141,1
519597251,0
519597329,1
519597419,0
519597518,1
519597621,0
519597698,1
519597785,0
519597873,1
519597942,0
519597988,1
519598034,0
519598125,1
519598197,0
519598289,1
519598385,0
519598477,1
519598564,0
519598652,1
519598721,0
519598817,1
519598908,0
519598961,1
519599008,0
519599060,1
519599146,0
519599233,1
519599321,0
519599404,1
519599490,0
519599578,1
519599662,0
519599725,1
519599818,0
519599913,1
519599966,0
519600019,1
519600067,0
519600150,1
519600220,0
519600314,1
519600410,0
519600505,1
519600600,0
519600691,1
519600761,0
519600859,1
519600941,0
519600996,1
519601048,0
519601134,1
519601212,0
519601307,1
519601400,0
519601454,1
519601548,0
519601619,1
519601705,0
519601798,1
519601876,0
519601948,1
519601999,0
519602052,1
519602147,0
519602241,1
519602311,0
519602400,1
519602483,0
519602546,1
519602639,0
519602725,1
519602778,0
519602864,1
519602929,0
519602979,1
519603032,0
519603121,1
519603188,0
519603258,1
519603353,0
519603446,1
519603541,0
519603629,1
519603690,0
519603786,1
519603863,0
519603939,1
519603992,0
519604045,1
519604134,0
519604211,1
519604290,0
519604365,1
519604459,0
519604553,1
519604641,0
519604718,1
519604795,0
519604882,1
519604946,0
519604996,1
519605049,0
519605138,1
519605239,0
519605333,1
519605402,0
519605496,1
519605574,0
519605669,1
519605746,0
519605836,1
519605906,0
519605956,1
519606002,0
519606054,1
519606143,0
519606226,1
519606321,0
519606390,1
519606480,0
519606558,1
519606632,0
519606718,1
519606788,0
519606876,1
519606944,0
519606997,1
519607045,0
519607137,1
519607234,0
519607311,1
519607387,0
519607476,1
519607575,0
519607654,1
519607723,0
519607817,1
519607872,0
519607940,1
519607988,0
519608039,1
519608125,0
519608211,1
519608281,0
519608378,1
519608471,0
519608541,1
519608633,0
519608729,1
519608822,0
519608891,1
519608939,0
519608985,1
519609034,0
519609105,1
519609184,0
519609260,1
519609338,0
519609434,1
519609535,0
519609629,1
519609700,0
519609752,1
519609846,0
519609916,1
519609970,0
519610017,1
519610063,0
519610146,1
519610257,0
519610342,1
519610405,0
519610491,1
519610593,0
519610666,1
519610757,0
519610827,1
519610916,0
519610968,1
519611013,0
519611064,1
519611142,0
519611236,1
519611307,0
519611400,1
519611495,0
519611583,1
519611676,0
519611770,1
519611847,0
519611934,1
519611987,0
519612040,1
519612121,0
519612205,1
519612290,0
519612378,1
